listing_id,host_name,last_review,price,nbhood_full,monthly_price,description,room_type,borough,price_range,labels
34092210,Kseniya,2019-06-30,275.0,"Brooklyn, Brighton Beach",8250.0,"BEACH 2 BDR, 2 BTH NEW YORK, BRIGHTON BEACH",entire home/apt,Brooklyn,$176-350,Expensive
34093093,Mike,2019-06-29,55.0,"Queens, Astoria",1650.0,Private entrance with views. 25 mins to Manhattan,private room,Queens,$0-69,Budget
34093881,Ramon,2019-07-01,250.0,"Manhattan, Hell's Kitchen",7500.0,A Cute and cozy two bedrooms apartment.,entire home/apt,Manhattan,$176-350,Expensive
34096002,Tracy,2019-05-22,135.0,"Queens, Long Island City",4050.0,LIC luxury building with indoor pool and lounge,private room,Queens,$70-175,Average
34096795,Cassa Times Square Hotel,2019-06-21,370.0,"Manhattan, Hell's Kitchen",11100.0,Boutique room for families w/ rooftop & breakfast,private room,Manhattan,>$350,Extravagant
34096836,Cassa Times Square Hotel,2019-05-20,430.0,"Manhattan, Hell's Kitchen",12900.0,An urban retreat from the city’s hustle and bustle,private room,Manhattan,>$350,Extravagant
34096837,Cassa Times Square Hotel,2019-06-21,159.0,"Manhattan, Hell's Kitchen",4770.0,Refined luxury suite with relaxed residential vibe,private room,Manhattan,$70-175,Average
34096839,Cassa Times Square Hotel,2019-06-22,390.0,"Manhattan, Hell's Kitchen",11700.0,Near Hudson Yards & Times Square w/ breakfast,private room,Manhattan,>$350,Extravagant
34096841,Cassa Times Square Hotel,2019-05-10,410.0,"Manhattan, Hell's Kitchen",12300.0,Sleek Times Square suite with rooftop & breakfast,private room,Manhattan,>$350,Extravagant
34099071,Patrick,2019-06-16,265.0,"Manhattan, Chelsea",7950.0,Entire 3 Bedroom in Central Chelsea Location,entire home/apt,Manhattan,$176-350,Expensive
34101162,Christos,2019-06-14,150.0,"Brooklyn, Clinton Hill",4500.0,Spacious with amazing views 1 bedroom apartment,entire home/apt,Brooklyn,$70-175,Average
34107684,Corey,2019-05-17,101.0,"Brooklyn, Bedford-Stuyvesant",3030.0,Cozy Bed-Stuy 1BR- easy access to Manhattan,entire home/apt,Brooklyn,$70-175,Average
34109471,Sidrah,2019-06-16,150.0,"Brooklyn, Prospect-Lefferts Gardens",4500.0,New HUGE gorgeous 1 BR next to Prospect Park!,entire home/apt,Brooklyn,$70-175,Average
34109512,Helen!,2019-06-14,225.0,"Manhattan, Hell's Kitchen",6750.0,Beautiful Apartment in Luxury building,entire home/apt,Manhattan,$176-350,Expensive
34110599,Zabi,2019-06-22,199.0,"Queens, Long Island City",5970.0,The Green Place I,entire home/apt,Queens,$176-350,Expensive
34111158,Janelle,2019-07-01,200.0,"Manhattan, Chinatown",6000.0,Delightful Lower East Side Two Bedroom Apartment,entire home/apt,Manhattan,$176-350,Expensive
34111540,Haylee,2019-06-09,59.0,"Manhattan, Upper West Side",1770.0,Big Bedroom near Columbia University and 1 line,private room,Manhattan,$0-69,Budget
34111820,Giovanny,2019-06-04,75.0,"Manhattan, Washington Heights",2250.0,Quiet Uptown Stay in Historic Building,private room,Manhattan,$70-175,Average
34112635,Jose,2019-06-08,28.0,"Queens, Jackson Heights",840.0,CRASH PAD near LGA JFK,shared room,Queens,$0-69,Budget
34115136,Sonder (Nyc),2019-06-22,210.0,"Manhattan, Financial District",6300.0,Sonder | Stock Exchange | Gorgeous 1BR + Laundry,entire home/apt,Manhattan,$176-350,Expensive
